name,russian translation,take,,Karata,,Karata_Zagra,,Karata_Umarkhadzhi,,Karata_Khajbula,,Karata_Ktoto,,Tukita_MagMag,,Tadmagitl_Khadzhimurat,,Tadmagitl_Nazirbek,,Tadmagitl_Nadzhawat,,Tadmagitl_Abdurakhman,,Karata_Gazijav,,Bagvalal,,Bagvalal_Gusejn,,Bagvalal_Muminat,,Bagvalal_Muslim,,Bagvalal_nazhavat,,Azer,,Kumyk,,Avar,
the watermelon,арбуз,the watermelon,1,хъармуз,2,хъармуз,2,хъармуз,2,хъармуз,2,хъармуз,2,,,,,хъапузи,2,хъапузи,2,,,,,хъарбуз,2,хъарпуз,2,хъарпуз,2,хъарбуз,2,хъарпуз,2,гарпыз,2,харбуз,2,хъарпýз,2
the barrel,бочка,the barrel,1,пошка,1,бочка,1,бочка,1,бочка,1,бочка,1,бочка,1,,,рус,1,рагва,2,,,,,"чирмá / чирми, бочка","1,3",0,,"чирмá / чирми, бочка","1,3","чирмá / чирми, бочка","1,3","чирмá / чирми, бочка","1,3",данышмаг,4,RUS,1,чирмá,3
the bucket,ведро,the bucket,1,бедера,1,бедера,1,бедера,1,бедера,1,бедера,1,пидра,1,бидира,1,бидира,1,бидира,1,,,,,бидира,1,бедра,1,бедера,1,бедра,1,ведро,1,ведрə,1,"педире, челек","1,2",RUS,1
the pea,горох,the pea,1,х1але,2,х1але (черные бобы; гороха нет),2,гарох,1,,,"гарох, х1але","1,2",гьац1а гьале,3,гьали,3,гьали,3,,,горох,1,,,гьал,3,"горох, гьал, еще что-то было","1,3",гарух,1,гьаль,3,гьаль,3,нохуд,4,нохут,4,хIéгьоло,5
the pear,груша,the pear,1,"гьиНгьиН, х1амагъаНкъ","2,3",первое,2,первое,2,первое,2,гьиНгьиН,2,гени,3,махахо,4,махахо,4,,,махахо,4,,,гьиНгьа,2,махуха,4,махуха,4,махуха,4,махуха,4,армуд,5,гьармут,5,"хIанчI, ген/и","6,7"
the melon,дыня,the melon,1,паст1ан,2,паст1ан,2,паст1ан,2,хъабахъ (ав) паст1ан,"2,3",хъабахъ (ав) паст1ан,"2,3",паст1ан,2,паст1а,2,паст1а,2,,,паст1а,2,,,патIих,4,"дыня, паст1ан (ав)","1,2",дыня,1,паст1ан может быть,2,дыня,1,говун; jемиш,"5,6",пастан,2,пастІáн1,2
the cabbage,капуста (кочанная),the cabbage,1,0,,капуста,1,капуста,1,хъапуск1а,1,хъапуск1а,1,капуста,1,хъапуста,1,хъапуста,1,,,хъапуста,1,,,КАПУСТА,1,капуста,1,капуста,1,капуста,1,капуста,1,кəлəм/käläm,2,къапуста,1,хъапустIан,1
the carrot,морковь,the carrot,1,ламат1ур,2,мамат1ур,2,мамат1уру,3,мамат1ур,3,мамат1уру,3,ламат1ур,2,экье,4,экье,4,,,,,,,гьекьéм,4,ламатур,2,,,ламатур,2,ламадур,2,yerkökü,5,чита,6,ламáдур,2
the rust,ржавчина,the rust,1,0,,кьабчур,2,кьабчур,2,кьабчур,2,кьарччу,3,кьаг1и,4,кьабу,5,кьабу,5,,,,,,,кьваНй,6,кьванй,6,,,кьваНй,6,кьваНй,6,пас; боз лəкə,"7,8",тот,9,кьавý,5
the fairy tale,сказка,the fairy tale,1,мугьа,2,мугьа,2,мугьа,2,мугьа,2,мугьа,2,маргьо,3,муха,2,муха,2,,,,,,,МУГЬА,2,маргьва,3,маргьо,3,маргъва,3,маргьо,3,nağıl; yalan;,"4,5",ёмакъ,6,маргьа,3
the plum,слива,the plum,1,каНкула,2,канкула,2,канкула,2,канкула,2,канкула,2,кукун,3,коквани,4,кваквани,4,,,,,,,"гIурýскваНкул, квáНкул","5,6",,,,,канкул,6,канкул,6,ҝавалы,7,кокан,4,кокó/н,4
the herd,стадо (овец),the herd,1,рехьет1,2,риъвар,3,риъвар,3,риъвар,3,риъвар,3,"ихьва, ихьва-хъир","4,5",ракъва,6,ракъва,6,,,,,,,РЕХЬÉТI,2,"рехъен (ав), руар подтвердил","7,8",руар,8,руар,8,руар,8,сүрү; нахыр,"9,10","сирив, йылкъы, тувар, гезив (гьайванлар)","9,11,12",рехъéн,7
the mother-in-law,тёща/свекровь,#N/A,1,илйакьер,2,илйакьер,2,,,,,,,,,,,,,,,,,,,илакьар,2,,,,,,,,,теща/qaynana,3,къайнана,3,я/кьáд,4
the rosary,четки,the rosary,1,салатабди,2,салатди,2,салатди,2,салатди,2,"салатди, ч1умал (ав)","2,3",саламатиби,2,,,шалата,4,,,,,,,САЛÇТ,5,салаг1ат,5,салаг1ат,5,саляг1ат,5,салаг1ат,5,təsbeh,6,"зувгьанлар, тасбигьлер","6,7",na,NA
the whip,"кнут, хлыст (для лошади)",the whip,1,0,,жваркьел,2,жваркьел,2,жваркье,2,жваркье,2,жоркьил,2,,,чикье,3,,,чикье,3,,,ЖВАРКЬИМ,2,жваркьим,2,жваркьим,2,не знаю,0,не знаю,0,чубуг; гамчы; гырманҹä,"4,5",къамучу,5,цIал,6
the sugar,сахар,the sugar,1,чакар,2,чакар,2,чакар,2,чакар,2,чакар,2,чакар,2,чака,2,чака,2,,,,,,,чакар,2,"чакар подтвердил, писук","2,3",,,чекер,2,чекер,2,шəкəр; гəнд,"2,4",шекер,2,чакар,2
the soap,мыло,the soap,1,ссапун,2,сапун,2,сапун,2,сапун,2,сапун,2,сапун,2,сагьу,3,сагьу,3,,,,,,,САПУН,2,сапун,2,,,сапун,2,сапун,2,сабун,2,сапун,2,сапун,2
the wine,вино,the wine,1,0,,вино,1,ч1агьир аварское,2,,,вино,1,вино,1,,,вино,1,,,чагъи,3,,,Čарóбодоб,4,мед,5,вино,1,"вино, ч1аг1а","1,6",вино,1,шəраб; чахыр,"7,2","чагъыр (виноградное), гьаракъы (самогон)",2,"чагъир, жа / простор. разг. (водка) гIаракъи",2
the table,стол,the table,1,уст1ул,2,уст1ул,2,уст1ул,2,уст1ул,2,уст1ул,2,уст1ул,2,ушт1у,2,уст1у,2,,,,,,,истóл,2,уст1ул,2,ист1ул,2,устуль,2,стол,1,маса; RUS,"1,3",стол,1,стол,1
the paper,бумага,the paper,1,кагъат,2,кагъат,2,кагъат,2,кагъат,2,кагъат,2,кагъат,2,,,кагъа,2,кагъа,2,,,,,кагъар,2,кагъаль,2,кагъаль,2,кагъаль,2,кагъаль,2,kağız,2,къагъыз,2,кагъат,2
the shop/store,магазин,the shop/store,1,тукан,2,тукан,2,тукан,2,тукан,2,тукан,2,тукин,2,тука,2,тука,2,,,,,,,ТУКÁН,2,тукан,2,,,тукан,2,тукен,2,mağaza,1,тюкен,2,тукен,2
the school,школа,the school,1,ушкул,2,ушкул,2,ушкул,2,ушкул,2,ушкул,2,ушкул,2,ушку,2,ушку,2,,,,,,,ишкол,2,ушкул,2,школа,1,ишкул,2,школа,1,məktəb,3,"школа, мактап","1,3",школа,1
the mule,мул,the mule,1,0,,г1урц1ина,2,г1урц1ина,2,г1урц1иня,2,г1урц1иня,2,х1орцин,2,имихи,3,?,,,,,,,,ГЪÓРЦIОМ,2,кунт1а гьами,4,,,г1орц1им,2,кунт1а гьами,4,qatır,5,къачыр,5,гIорцIен,2
the oats,овёс (чем кормят лошадей),the oats,1,ниха,2,ниха,2,"берч1ин, ниха подтвердил, а берч1ин наверное рожь","2,3",беч1ин муъа ниха подтвердил,"2,3","беч1ин ячмень, ниха может быть подтвержил","2,3","беч1ин ячмень, ниха может быть подтвержил","2,3",ниха,2,?,,,,,,,,НИХА,2,подтвердил ниха,2,,,ниха,2,"беч1ин, ниха не овес",3,yulaf,4,"сулу, ныха","2,5",неха (ниха),2
