name,DAvar,DAzer,DGeorgian,DKumyk,DLezgian,DRussian,DRutul,Helmets_A,Helmets_M,Helmets_T,Ikhrek_A,Ikrek_J,Ikhrek_S,Ikhrek_Z,Khlut_A,Khlut_AM,Khlut_I,Khlut_S,Kiche_Sej,Kiche_Ser,Kina_M,Kina_MS,Kina_N,Mikik_A,Mikik_N,Rutul_V
the watermelon,1,1,9,1,2,3,NA,1,1,1,1,1,1,1,1 2,1,1,1,1,1,1,1,1,1,1,1
the barrel,9,2,9,1,3,1,NA,1,1,1,1,1,1,1,1,4 5,6,1,1,1,1,1,1,7,1,1
the bucket,1,1,1,1 2,1,1,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the pea,20,4,21,4,4,2,1,2,2,2,2,1,2,3,1,1,1,1,1,3,1,1,1 3,5,4,1
the pear,20,2,21,2,3,5,NA,3,3,3,1,1,1,1,4,4,NA,4,1,1,1,1,1,6,6,1
the melon,3,1 2,21,3,1 4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1
the cabbage,2,1,20,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the carrot,20,3,21,4,5,6,1,2,2,2,2,2,2,2,5,5,NA,5,2,2,2,2,2,2,2,2
the rust,21,2 3,22,4,1,5,NA,2,2,2,1,1,NA,1,1,1,NA,1,1,1,1,1,1,6,2 6,1
the fairy tale,21,4 5,22,6,1,8,NA,7,7,7,1,1,1,1,1,1,1,1 7,1,1,3,2,2,9,4,1
the plum,4,2,2,4,5,7,NA,2,2,2,2,2,2,2,6,6,6,6,3,1,2,2,2,2,2,1
the herd,21,1 2,22,1 2 5 6,1 2 5 7 8,10,1,2,1 2,9,4,3,2,4,2,1 2,1,2,5,2,1,1,1,1,1,2
the rosary,NA,3,22,1 3,3,4,1,3,3,3,1,2,1,1,3,3,3,3,1,1,1 4,3,3,3,3,NA
the whip,22,1 2 3,22,1,1 2,5,1,4,4,4,1,1,1,1,1,1,1,1,1,NA,1,1,1,4,4,2
the sugar,1,1 2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,NA,1,1,1,1,1,1,2,2,1
the soap,1,1,1,1,1,2,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
the wine,1,1 2,22,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
